"xmlns","series","url","limit","offset","total","RaceTable__season","RaceTable__Races__season","RaceTable__Races__round","RaceTable__Races__url","RaceTable__Races__raceName","RaceTable__Races__Circuit__circuitId","RaceTable__Races__Circuit__url","RaceTable__Races__Circuit__circuitName","RaceTable__Races__Circuit__Location__lat","RaceTable__Races__Circuit__Location__long","RaceTable__Races__Circuit__Location__locality","RaceTable__Races__Circuit__Location__country","RaceTable__Races__date","RaceTable__Races__time","RaceTable__Races__QualifyingResults__number","RaceTable__Races__QualifyingResults__position","RaceTable__Races__QualifyingResults__Driver__driverId","RaceTable__Races__QualifyingResults__Driver__permanentNumber","RaceTable__Races__QualifyingResults__Driver__code","RaceTable__Races__QualifyingResults__Driver__url","RaceTable__Races__QualifyingResults__Driver__givenName","RaceTable__Races__QualifyingResults__Driver__familyName","RaceTable__Races__QualifyingResults__Driver__dateOfBirth","RaceTable__Races__QualifyingResults__Driver__nationality","RaceTable__Races__QualifyingResults__Constructor__constructorId","RaceTable__Races__QualifyingResults__Constructor__url","RaceTable__Races__QualifyingResults__Constructor__name","RaceTable__Races__QualifyingResults__Constructor__nationality","RaceTable__Races__QualifyingResults__Q1","RaceTable__Races__QualifyingResults__Q2","RaceTable__Races__QualifyingResults__Q3"
"http://ergast.com/mrd/1.4","f1","http://ergast.com/api/f1/2019/qualifying.json","30","0","20","2019","2019","1","https://en.wikipedia.org/wiki/2019_Australian_Grand_Prix","Australian Grand Prix","albert_park","http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit","Albert Park Grand Prix Circuit","-37.8497","144.968","Melbourne","Australia","2019-03-17","05:10:00Z","44","1","hamilton","44","HAM","http://en.wikipedia.org/wiki/Lewis_Hamilton","Lewis","Hamilton","1985-01-07","British","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","1:22.043","1:21.014","1:20.486"
"","","","","","","","","","","","","","","","","","","","","77","2","bottas","77","BOT","http://en.wikipedia.org/wiki/Valtteri_Bottas","Valtteri","Bottas","1989-08-28","Finnish","mercedes","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One","Mercedes","German","1:22.367","1:21.193","1:20.598"
"","","","","","","","","","","","","","","","","","","","","5","3","vettel","5","VET","http://en.wikipedia.org/wiki/Sebastian_Vettel","Sebastian","Vettel","1987-07-03","German","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","1:22.885","1:21.912","1:21.190"
"","","","","","","","","","","","","","","","","","","","","33","4","max_verstappen","33","VER","http://en.wikipedia.org/wiki/Max_Verstappen","Max","Verstappen","1997-09-30","Dutch","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","1:22.876","1:21.678","1:21.320"
"","","","","","","","","","","","","","","","","","","","","16","5","leclerc","16","LEC","http://en.wikipedia.org/wiki/Charles_Leclerc_(racing_driver)","Charles","Leclerc","1997-10-16","Monegasque","ferrari","http://en.wikipedia.org/wiki/Scuderia_Ferrari","Ferrari","Italian","1:22.017","1:21.739","1:21.442"
"","","","","","","","","","","","","","","","","","","","","8","6","grosjean","8","GRO","http://en.wikipedia.org/wiki/Romain_Grosjean","Romain","Grosjean","1986-04-17","French","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","1:22.959","1:21.870","1:21.826"
"","","","","","","","","","","","","","","","","","","","","20","7","kevin_magnussen","20","MAG","http://en.wikipedia.org/wiki/Kevin_Magnussen","Kevin","Magnussen","1992-10-05","Danish","haas","http://en.wikipedia.org/wiki/Haas_F1_Team","Haas F1 Team","American","1:22.519","1:22.221","1:22.099"
"","","","","","","","","","","","","","","","","","","","","4","8","norris","4","NOR","https://en.wikipedia.org/wiki/Lando_Norris","Lando","Norris","1999-11-13","British","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","1:22.702","1:22.423","1:22.304"
"","","","","","","","","","","","","","","","","","","","","7","9","raikkonen","7","RAI","http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen","Kimi","Räikkönen","1979-10-17","Finnish","alfa","https://en.wikipedia.org/wiki/Alfa_Romeo_Racing","Alfa Romeo","Italian","1:22.966","1:22.349","1:22.314"
"","","","","","","","","","","","","","","","","","","","","11","10","perez","11","PER","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez","Sergio","Pérez","1990-01-26","Mexican","racing_point","https://en.wikipedia.org/wiki/Racing_Point_F1_Team","Racing Point","British","1:22.908","1:22.532","1:22.781"
"","","","","","","","","","","","","","","","","","","","","27","11","hulkenberg","27","HUL","http://en.wikipedia.org/wiki/Nico_H%C3%BClkenberg","Nico","Hülkenberg","1987-08-19","German","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","1:22.540","1:22.562",""
"","","","","","","","","","","","","","","","","","","","","3","12","ricciardo","3","RIC","http://en.wikipedia.org/wiki/Daniel_Ricciardo","Daniel","Ricciardo","1989-07-01","Australian","renault","https://en.wikipedia.org/wiki/Renault_in_Formula_One","Renault","French","1:22.921","1:22.570",""
"","","","","","","","","","","","","","","","","","","","","23","13","albon","23","ALB","https://en.wikipedia.org/wiki/Alexander_Albon","Alexander","Albon","1996-03-23","Thai","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","1:22.757","1:22.636",""
"","","","","","","","","","","","","","","","","","","","","99","14","giovinazzi","36","GIO","http://en.wikipedia.org/wiki/Antonio_Giovinazzi","Antonio","Giovinazzi","1993-12-14","Italian","alfa","https://en.wikipedia.org/wiki/Alfa_Romeo_Racing","Alfa Romeo","Italian","1:22.431","1:22.714",""
"","","","","","","","","","","","","","","","","","","","","26","15","kvyat","26","KVY","http://en.wikipedia.org/wiki/Daniil_Kvyat","Daniil","Kvyat","1994-04-26","Russian","toro_rosso","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","Toro Rosso","Italian","1:22.511","1:22.774",""
"","","","","","","","","","","","","","","","","","","","","18","16","stroll","18","STR","http://en.wikipedia.org/wiki/Lance_Stroll","Lance","Stroll","1998-10-29","Canadian","racing_point","https://en.wikipedia.org/wiki/Racing_Point_F1_Team","Racing Point","British","1:23.017","",""
"","","","","","","","","","","","","","","","","","","","","10","17","gasly","10","GAS","http://en.wikipedia.org/wiki/Pierre_Gasly","Pierre","Gasly","1996-02-07","French","red_bull","http://en.wikipedia.org/wiki/Red_Bull_Racing","Red Bull","Austrian","1:23.020","",""
"","","","","","","","","","","","","","","","","","","","","55","18","sainz","55","SAI","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr.","Carlos","Sainz","1994-09-01","Spanish","mclaren","http://en.wikipedia.org/wiki/McLaren","McLaren","British","1:23.084","",""
"","","","","","","","","","","","","","","","","","","","","63","19","russell","63","RUS","https://en.wikipedia.org/wiki/George_Russell_(racing_driver)","George","Russell","1998-02-15","British","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","1:24.360","",""
"","","","","","","","","","","","","","","","","","","","","88","20","kubica","88","KUB","http://en.wikipedia.org/wiki/Robert_Kubica","Robert","Kubica","1984-12-07","Polish","williams","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","Williams","British","1:26.067","",""
